x y z u v depth
0.794150 -0.055743 1.209781 76.410884 49.569973 -1.468676
0.777133 -0.098670 0.988536 71.936272 44.710967 -1.407667
0.813708 -0.022790 1.188170 76.056367 48.991343 -1.499704
0.803371 -0.019520 1.221647 76.466359 49.914464 -1.505740
0.793200 -0.099855 0.932361 71.108518 43.095041 -1.401827
0.827200 -0.041895 1.086003 74.499968 46.403063 -1.472214
0.812590 -0.046741 1.095410 74.432500 46.853820 -1.468183
0.795810 -0.086440 0.931859 71.062809 43.201890 -1.415151
0.830415 -0.034622 1.066344 74.112927 45.996355 -1.477835
0.817777 -0.053131 1.035337 73.390703 45.397566 -1.456850
0.802240 -0.092827 0.856616 69.660974 41.292781 -1.402568
0.834724 -0.043468 0.985096 72.652291 44.078891 -1.462309
0.822811 -0.060668 0.963603 72.100569 43.654093 -1.443413
0.818143 -0.135865 0.697089 66.764773 36.547065 -1.346490
0.847888 -0.076510 0.847400 70.336708 40.346505 -1.417999
0.832401 -0.079134 0.860564 70.301074 40.932284 -1.416494
0.827747 -0.138170 0.647626 65.886189 35.106376 -1.340098
0.857776 -0.079433 0.791877 69.401062 38.843451 -1.410490
0.841050 -0.072910 0.827666 69.760079 40.104885 -1.419969
0.780161 -0.082771 0.751762 66.922638 39.550618 -1.403972
0.836498 -0.151073 0.581401 64.627203 33.040038 -1.321761
0.865365 -0.078138 0.755499 68.789723 37.879814 -1.408767
0.847542 -0.064820 0.805322 69.385901 39.591361 -1.426178
0.840554 -0.174218 0.494974 62.767192 30.275916 -1.291558
0.870085 -0.098945 0.668544 67.131824 35.413395 -1.380850
0.851463 -0.066348 0.761182 68.556432 38.498092 -1.421007
0.847153 -0.206869 0.386235 60.331875 26.474654 -1.250037
0.878067 -0.131345 0.557096 64.963703 31.933632 -1.339353
0.857846 -0.074227 0.699638 67.432974 36.840984 -1.408068
0.853434 -0.198669 0.377263 60.272134 26.316873 -1.257459
0.884732 -0.102537 0.592381 65.809175 33.239131 -1.370964
0.864718 -0.044232 0.732578 68.134331 37.939475 -1.440668
0.803163 -0.154626 0.456464 61.007401 30.648049 -1.307963
0.856271 -0.208001 0.336655 59.339632 24.913538 -1.244804
0.885098 -0.077343 0.627312 66.487614 34.544182 -1.398953
0.866727 -0.016772 0.768569 68.779957 39.116556 -1.471000
0.855899 -0.224356 0.273907 57.739022 22.744456 -1.223328
0.882058 -0.075578 0.597485 65.779428 33.957445 -1.398256
0.867052 -0.011578 0.742271 68.231691 38.621153 -1.474006
0.858426 -0.187433 0.307063 58.712765 24.682989 -1.262857
0.884693 -0.041497 0.615876 66.117887 34.967305 -1.433734
0.870048 0.019518 0.756158 68.427593 39.325008 -1.506138
0.820763 -0.163600 0.323852 58.290123 26.675465 -1.288052
0.865835 -0.100845 0.444464 62.136106 30.184063 -1.360475
0.895239 0.020378 0.693891 67.692858 37.513368 -1.501819
0.876749 0.071013 0.818292 69.510865 41.186859 -1.562573
0.867154 -0.062145 0.502798 63.403882 32.367392 -1.403854
0.900743 0.008672 0.644713 66.866658 36.156721 -1.486087
0.882620 0.086238 0.820103 69.579378 41.305940 -1.577887
0.864394 -0.088695 0.419194 61.542241 29.892498 -1.370501
0.898677 -0.011505 0.576196 65.497893 34.347420 -1.460329
0.884651 0.094798 0.805653 69.304503 41.087631 -1.585222
0.865530 -0.075829 0.407993 61.321530 29.896872 -1.382397
0.899999 0.015899 0.590980 65.749307 35.137982 -1.488857
0.887796 0.105883 0.784067 68.908489 40.741104 -1.594484
0.873711 -0.042387 0.437928 62.138403 31.152035 -1.418182
